chave_acesso;id_contribuinte_emitente;id_nfe_vinculada;valor_frete;situacao
20000000000000000000000000000000000000000001;1;1;23.00;AUTORIZADA
20000000000000000000000000000000000000000002;2;2;26.00;AUTORIZADA
20000000000000000000000000000000000000000003;3;3;29.00;AUTORIZADA
20000000000000000000000000000000000000000004;4;4;32.00;AUTORIZADA
20000000000000000000000000000000000000000005;5;5;35.00;AUTORIZADA
20000000000000000000000000000000000000000006;6;6;38.00;CANCELADA
20000000000000000000000000000000000000000007;7;7;41.00;AUTORIZADA
20000000000000000000000000000000000000000008;8;8;44.00;AUTORIZADA
20000000000000000000000000000000000000000009;9;9;47.00;AUTORIZADA
20000000000000000000000000000000000000000010;10;10;50.00;AUTORIZADA
20000000000000000000000000000000000000000011;1;11;53.00;AUTORIZADA
20000000000000000000000000000000000000000012;2;12;56.00;CANCELADA
20000000000000000000000000000000000000000013;3;13;59.00;AUTORIZADA
20000000000000000000000000000000000000000014;4;14;62.00;AUTORIZADA
20000000000000000000000000000000000000000015;5;15;65.00;AUTORIZADA
20000000000000000000000000000000000000000016;6;16;68.00;AUTORIZADA
20000000000000000000000000000000000000000017;7;17;71.00;AUTORIZADA
20000000000000000000000000000000000000000018;8;18;74.00;CANCELADA
20000000000000000000000000000000000000000019;9;19;77.00;AUTORIZADA
20000000000000000000000000000000000000000020;10;20;80.00;AUTORIZADA
