chave_acesso;id_contribuinte_emitente;data_emissao;valor_total;situacao
10000000000000000000000000000000000000000001;1;2026-02-01;55.00;AUTORIZADA
10000000000000000000000000000000000000000002;2;2026-02-02;60.00;AUTORIZADA
10000000000000000000000000000000000000000003;3;2026-02-03;65.00;AUTORIZADA
10000000000000000000000000000000000000000004;4;2026-02-04;70.00;AUTORIZADA
10000000000000000000000000000000000000000005;5;2026-02-05;75.00;CANCELADA
10000000000000000000000000000000000000000006;6;2026-02-06;80.00;AUTORIZADA
10000000000000000000000000000000000000000007;7;2026-02-07;85.00;AUTORIZADA
10000000000000000000000000000000000000000008;8;2026-02-08;90.00;AUTORIZADA
10000000000000000000000000000000000000000009;9;2026-02-09;95.00;AUTORIZADA
10000000000000000000000000000000000000000010;10;2026-02-10;100.00;CANCELADA
10000000000000000000000000000000000000000011;1;2026-02-11;105.00;AUTORIZADA
10000000000000000000000000000000000000000012;2;2026-02-12;110.00;AUTORIZADA
10000000000000000000000000000000000000000013;3;2026-02-13;115.00;AUTORIZADA
10000000000000000000000000000000000000000014;4;2026-02-14;120.00;AUTORIZADA
10000000000000000000000000000000000000000015;5;2026-02-15;125.00;CANCELADA
10000000000000000000000000000000000000000016;6;2026-02-16;130.00;AUTORIZADA
10000000000000000000000000000000000000000017;7;2026-02-17;135.00;AUTORIZADA
10000000000000000000000000000000000000000018;8;2026-02-18;140.00;AUTORIZADA
10000000000000000000000000000000000000000019;9;2026-02-19;145.00;AUTORIZADA
10000000000000000000000000000000000000000020;10;2026-02-20;150.00;CANCELADA
