chave_acesso;cnpj_emitente;razao_social_emitente;cfop;ncm;valor_total;data_emissao
25012312345678000190550010000000011877572000;56789012000154;Distribuidora Paraiba Eireli;6108;84713012;2222.14;2026-01-04
25011212345678000190550010000000021131244000;23456789000181;Industria Borborema ME;6108;84713012;7654.53;2026-01-01
25011245678901000163550010000000031571029000;56789012000154;Mercantil Litoral Ltda;5102;84713012;10517.37;2026-01-11
25012345678901000163550010000000041900581000;67890123000145;Agropecuaria Brejo SA;5405;21069090;5791.92;2026-01-12
25011212345678000190550010000000051865179000;890123450001;Agropecuaria Brejo SA;5405;94036000;1320.18;2026-01-10
25012323456789000181550010000000061148050000;45678901000163;Distribuidora Paraiba Eireli;5949;21069090;12851.47;2026-01-28
25011256789012000154550010000000071575435000;67890123000145;Mercantil Litoral Ltda;ABCD;22030000;5425.77;2026-01-22
25012334567890000172550010000000081660086000;45678901000163;Industria Borborema ME;6102;94036000;5784.91;2026-01-21
25011212345678000190550010000000091340174000;12345678000190;Agropecuaria Brejo SA;6403;123;4125.95;2026-01-07
25012389012345000127550010000000101514850000;89012345000127;Mercantil Litoral Ltda;6102;22030000;2223.51;2026-01-24
25011278901234000136550010000000111479580000;00000000000000;Comercial Nordeste Ltda;6108;84713012;7716.47;2026-01-03
25012334567890000172550010000000121757924000;34567890000172;Materiais Construcao Cariri EPP;5101;62034200;1093.39;2026-01-13
25011212345678000190550010000000131813328000;23456789000181;Atacado Sertao SA;5949;22030000;-646.61;2026-01-14
25011212345678000190550010000000141857168000;56789012000154;Mercantil Litoral Ltda;6102;62034200;13702.52;2026-01-28
25012345678901000163550010000000041900581000;45678901000163;Comercial Nordeste Ltda;6102;22030000;11473.29;2026-01-18
25011289012345000127550010000000161120422000;23456789000181;Distribuidora Paraiba Eireli;6403;22030000;3705.87;2026-01-08
25012389012345000127550010000000171955662000;23456789000181;Atacado Sertao SA;6102;84713012;9947.3;2026-01-18
25011278901234000136550010000000181322086000;45678901000163;Agropecuaria Brejo SA;5949;94036000;0.0;2026-01-22
25011289012345000127550010000000191226882000;456789010001;Industria Borborema ME;6108;21069090;5170.57;2026-01-19
25012312345678000190550010000000201174441000;12345678000190;Agropecuaria Brejo SA;6108;21069090;13595.49;2026-01-28
25012345678901000163550010000000211392004000;89012345000127;Materiais Construcao Cariri EPP;6108;62034200;2114.83;2026-01-19
25012389012345000127550010000000221946721000;78901234000136;Agropecuaria Brejo SA;ABCD;21069090;1589.42;2026-01-14
25011278901234000136550010000000231589710000;12345678000190;Distribuidora Paraiba Eireli;5405;21069090;6128.93;2026-01-11
25012345678901000163550010000000241299448000;89012345000127;Industria Borborema ME;6102;94036000;2874.8;32/13/2026
25012389012345000127550010000000251947272000;23456789000181;Industria Borborema ME;5102;62034200;12565.01;2026-01-03
25012378901234000136550010000000261609231000;00000000000000;Atacado Sertao SA;6101;84713012;12990.06;2026-01-02
25011212345678000190550010000000271509386000;56789012000154;Materiais Construcao Cariri EPP;6101;22030000;-2172.74;2026-01-24
25012345678901000163550010000000041900581000;34567890000172;Comercial Nordeste Ltda;6108;22030000;3382.86;2026-01-02
25011212345678000190550010000000291152578000;89012345000127;Atacado Sertao SA;6102;21069090;14417.57;2026-01-03
25012323456789000181550010000000301808011000;45678901000163;Industria Borborema ME;5101;21069090;14132.7;2026-01-19
25012323456789000181550010000000311539589000;67890123000145;Industria Borborema ME;5949;ABC12345;10095.43;2026-01-11
25011278901234000136550010000000321237235000;56789012000154;Comercial Nordeste Ltda;6101;22030000;13945.92;2026-01-03
25011223456789000181550010000000331176819000;456789010001;Industria Borborema ME;5949;84713012;14008.9;2026-01-03
25011256789012000154550010000000341265409000;89012345000127;Comercial Nordeste Ltda;5949;62034200;14760.22;2026-01-26
25011223456789000181550010000000351240814000;56789012000154;Mercantil Litoral Ltda;5405;21069090;11174.89;2026-01-05
25011245678901000163550010000000361852470000;67890123000145;Comercial Nordeste Ltda;ABCD;22030000;7655.32;2026-01-09
25012378901234000136550010000000371969634000;56789012000154;Mercantil Litoral Ltda;5102;21069090;5103.31;2026-01-05
25012389012345000127550010000000381678478000;78901234000136;Atacado Sertao SA;5102;21069090;1267.37;32/13/2026
25012367890123000145550010000000391710805000;34567890000172;Comercial Nordeste Ltda;5101;84713012;771.16;2026-01-12
25011245678901000163550010000000401815198000;45678901000163;Farmacia Central Ltda;5405;22030000;11734.73;2026-01-28
