chave_acesso;id_contribuinte_emitente;id_nfe_vinculada;valor_frete;situacao
0000000000000000000000000000000000000001;1;1;15.00;AUTORIZADO
0000000000000000000000000000000000000002;2;2;16.00;AUTORIZADO
0000000000000000000000000000000000000003;3;3;17.00;AUTORIZADO
0000000000000000000000000000000000000004;4;4;18.00;CANCELADO
0000000000000000000000000000000000000005;5;5;19.00;AUTORIZADO
0000000000000000000000000000000000000006;6;6;20.00;AUTORIZADO
0000000000000000000000000000000000000007;7;7;21.00;AUTORIZADO
0000000000000000000000000000000000000008;8;8;22.00;CANCELADO
0000000000000000000000000000000000000009;9;9;23.00;AUTORIZADO
0000000000000000000000000000000000000010;10;10;24.00;AUTORIZADO
0000000000000000000000000000000000000011;1;11;25.00;AUTORIZADO
0000000000000000000000000000000000000012;2;12;26.00;AUTORIZADO
0000000000000000000000000000000000000013;3;13;27.00;CANCELADO
0000000000000000000000000000000000000014;4;14;28.00;AUTORIZADO
0000000000000000000000000000000000000015;5;15;29.00;AUTORIZADO
0000000000000000000000000000000000000016;6;16;30.00;AUTORIZADO
0000000000000000000000000000000000000017;7;17;31.00;CANCELADO
0000000000000000000000000000000000000018;8;18;32.00;AUTORIZADO
0000000000000000000000000000000000000019;9;19;33.00;AUTORIZADO
0000000000000000000000000000000000000020;10;20;34.00;AUTORIZADO
