chave_acesso;id_contribuinte_emitente;data_emissao;valor_total;situacao
0000000000000000000000000000000000000001;1;2026-01-01;80.00;AUTORIZADA
0000000000000000000000000000000000000002;2;2026-01-02;83.00;AUTORIZADA
0000000000000000000000000000000000000003;3;2026-01-03;86.00;AUTORIZADA
0000000000000000000000000000000000000004;4;2026-01-04;89.00;DENEGADA
0000000000000000000000000000000000000005;5;2026-01-05;92.00;AUTORIZADA
0000000000000000000000000000000000000006;6;2026-01-06;95.00;AUTORIZADA
0000000000000000000000000000000000000007;7;2026-01-07;98.00;AUTORIZADA
0000000000000000000000000000000000000008;8;2026-01-08;101.00;AUTORIZADA
0000000000000000000000000000000000000009;9;2026-01-09;104.00;DENEGADA
0000000000000000000000000000000000000010;10;2026-01-10;107.00;AUTORIZADA
0000000000000000000000000000000000000011;1;2026-01-11;110.00;AUTORIZADA
0000000000000000000000000000000000000012;2;2026-01-12;113.00;AUTORIZADA
0000000000000000000000000000000000000013;3;2026-01-13;116.00;AUTORIZADA
0000000000000000000000000000000000000014;4;2026-01-14;119.00;AUTORIZADA
0000000000000000000000000000000000000015;5;2026-01-15;122.00;AUTORIZADA
0000000000000000000000000000000000000016;6;2026-01-16;125.00;DENEGADA
0000000000000000000000000000000000000017;7;2026-01-17;128.00;AUTORIZADA
0000000000000000000000000000000000000018;8;2026-01-18;131.00;AUTORIZADA
0000000000000000000000000000000000000019;9;2026-01-19;134.00;AUTORIZADA
0000000000000000000000000000000000000020;10;2026-01-20;137.00;AUTORIZADA
