chave_acesso;id_contribuinte_emitente;id_contribuinte_destinatario;data_emissao;valor_total;situacao
0000000000000000000000000000000000000001;1;2;2026-01-01;105.00;AUTORIZADA
0000000000000000000000000000000000000002;2;3;2026-01-02;110.00;AUTORIZADA
0000000000000000000000000000000000000003;3;4;2026-01-03;115.00;AUTORIZADA
0000000000000000000000000000000000000004;4;5;2026-01-04;120.00;CANCELADA
0000000000000000000000000000000000000005;5;6;2026-01-05;125.00;AUTORIZADA
0000000000000000000000000000000000000006;6;7;2026-01-06;130.00;AUTORIZADA
0000000000000000000000000000000000000007;7;8;2026-01-07;135.00;AUTORIZADA
0000000000000000000000000000000000000008;8;9;2026-01-08;140.00;CANCELADA
0000000000000000000000000000000000000009;9;10;2026-01-09;145.00;AUTORIZADA
0000000000000000000000000000000000000010;10;1;2026-01-10;150.00;AUTORIZADA
0000000000000000000000000000000000000011;1;2;2026-01-11;155.00;AUTORIZADA
0000000000000000000000000000000000000012;2;3;2026-01-12;160.00;AUTORIZADA
0000000000000000000000000000000000000013;3;4;2026-01-13;165.00;CANCELADA
0000000000000000000000000000000000000014;4;5;2026-01-14;170.00;AUTORIZADA
0000000000000000000000000000000000000015;5;6;2026-01-15;175.00;AUTORIZADA
0000000000000000000000000000000000000016;6;7;2026-01-16;180.00;AUTORIZADA
0000000000000000000000000000000000000017;7;8;2026-01-17;185.00;CANCELADA
0000000000000000000000000000000000000018;8;9;2026-01-18;190.00;AUTORIZADA
0000000000000000000000000000000000000019;9;10;2026-01-19;195.00;AUTORIZADA
0000000000000000000000000000000000000020;10;1;2026-01-20;200.00;AUTORIZADA
