
nrchaveacesso;vltotalnota;dtemissao;stnfe;sqnfe;tpnfe
000000000000000000000000000000000000000001;100.00;2024-01-01;A;100001;1
000000000000000000000000000000000000000002;100.00;2024-01-01;A;100002;1
000000000000000000000000000000000000000003;100.00;2024-01-01;A;100003;1
000000000000000000000000000000000000000004;100.00;2024-01-01;A;100004;1
000000000000000000000000000000000000000005;100.00;2024-01-01;A;100005;1
000000000000000000000000000000000000000006;100.00;2024-01-01;A;100006;1
000000000000000000000000000000000000000007;100.00;2024-01-01;A;100007;1
000000000000000000000000000000000000000008;100.00;2024-01-01;A;100008;1
000000000000000000000000000000000000000009;100.00;2024-01-01;A;100009;1
000000000000000000000000000000000000000010;100.00;2024-01-01;A;100010;1
000000000000000000000000000000000000000011;100.00;2024-01-01;A;100011;1
000000000000000000000000000000000000000012;100.00;2024-01-01;A;100012;1
000000000000000000000000000000000000000013;100.00;2024-01-01;A;100013;1
000000000000000000000000000000000000000014;100.00;2024-01-01;A;100014;1
000000000000000000000000000000000000000015;100.00;2024-01-01;A;100015;1
000000000000000000000000000000000000000016;100.00;2024-01-01;A;100016;1
000000000000000000000000000000000000000017;100.00;2024-01-01;A;100017;1
000000000000000000000000000000000000000018;100.00;2024-01-01;A;100018;1
000000000000000000000000000000000000000019;100.00;2024-01-01;A;100019;1
000000000000000000000000000000000000000020;100.00;2024-01-01;A;100020;1
000000000000000000000000000000000000000021;100.00;2024-01-01;A;100021;1
000000000000000000000000000000000000000022;100.00;2024-01-01;A;100022;1
000000000000000000000000000000000000000023;100.00;2024-01-01;A;100023;1
000000000000000000000000000000000000000024;100.00;2024-01-01;A;100024;1
000000000000000000000000000000000000000025;100.00;2024-01-01;A;100025;1
000000000000000000000000000000000000000026;100.00;2024-01-01;A;100026;1
000000000000000000000000000000000000000027;100.00;2024-01-01;A;100027;1
000000000000000000000000000000000000000028;100.00;2024-01-01;A;100028;1
000000000000000000000000000000000000000029;100.00;2024-01-01;A;100029;1
000000000000000000000000000000000000000030;100.00;2024-01-01;A;100030;1
000000000000000000000000000000000000000031;100.00;2024-01-01;A;100031;1
000000000000000000000000000000000000000032;100.00;2024-01-01;A;100032;1
000000000000000000000000000000000000000033;100.00;2024-01-01;A;100033;1
000000000000000000000000000000000000000034;100.00;2024-01-01;A;100034;1
000000000000000000000000000000000000000035;100.00;2024-01-01;A;100035;1
000000000000000000000000000000000000000036;100.00;2024-01-01;A;100036;1
000000000000000000000000000000000000000037;100.00;2024-01-01;A;100037;1
000000000000000000000000000000000000000038;100.00;2024-01-01;A;100038;1
000000000000000000000000000000000000000039;100.00;2024-01-01;A;100039;1
000000000000000000000000000000000000000040;100.00;2024-01-01;A;100040;1
000000000000000000000000000000000000000041;100.00;2024-01-01;A;100041;1
000000000000000000000000000000000000000042;100.00;2024-01-01;A;100042;1
000000000000000000000000000000000000000043;100.00;2024-01-01;A;100043;1
000000000000000000000000000000000000000044;100.00;2024-01-01;A;100044;1
000000000000000000000000000000000000000045;100.00;2024-01-01;A;100045;1
000000000000000000000000000000000000000046;100.00;2024-01-01;A;100046;1
000000000000000000000000000000000000000047;100.00;2024-01-01;A;100047;1
000000000000000000000000000000000000000048;100.00;2024-01-01;A;100048;1
000000000000000000000000000000000000000049;100.00;2024-01-01;A;100049;1
000000000000000000000000000000000000000050;100.00;2024-01-01;A;100050;1
000000000000000000000000000000000000000051;100.00;2024-01-01;A;100051;1
000000000000000000000000000000000000000052;100.00;2024-01-01;A;100052;1
000000000000000000000000000000000000000053;100.00;2024-01-01;A;100053;1
000000000000000000000000000000000000000054;100.00;2024-01-01;A;100054;1
000000000000000000000000000000000000000055;100.00;2024-01-01;A;100055;1
000000000000000000000000000000000000000056;100.00;2024-01-01;A;100056;1
000000000000000000000000000000000000000057;100.00;2024-01-01;A;100057;1
000000000000000000000000000000000000000058;100.00;2024-01-01;A;100058;1
000000000000000000000000000000000000000059;100.00;2024-01-01;A;100059;1
000000000000000000000000000000000000000060;100.00;2024-01-01;A;100060;1
000000000000000000000000000000000000000061;100.00;2024-01-01;A;100061;1
000000000000000000000000000000000000000062;100.00;2024-01-01;A;100062;1
000000000000000000000000000000000000000063;100.00;2024-01-01;A;100063;1
000000000000000000000000000000000000000064;100.00;2024-01-01;A;100064;1
000000000000000000000000000000000000000065;100.00;2024-01-01;A;100065;1
000000000000000000000000000000000000000066;100.00;2024-01-01;A;100066;1
000000000000000000000000000000000000000067;100.00;2024-01-01;A;100067;1
000000000000000000000000000000000000000068;100.00;2024-01-01;A;100068;1
000000000000000000000000000000000000000069;100.00;2024-01-01;A;100069;1
000000000000000000000000000000000000000070;100.00;2024-01-01;A;100070;1
000000000000000000000000000000000000000071;100.00;2024-01-01;A;100071;1
000000000000000000000000000000000000000072;100.00;2024-01-01;A;100072;1
000000000000000000000000000000000000000073;100.00;2024-01-01;A;100073;1
000000000000000000000000000000000000000074;100.00;2024-01-01;A;100074;1
000000000000000000000000000000000000000075;100.00;2024-01-01;A;100075;1
000000000000000000000000000000000000000076;100.00;2024-01-01;A;100076;1
000000000000000000000000000000000000000077;100.00;2024-01-01;A;100077;1
000000000000000000000000000000000000000078;100.00;2024-01-01;A;100078;1
000000000000000000000000000000000000000079;100.00;2024-01-01;A;100079;1
000000000000000000000000000000000000000080;100.00;2024-01-01;A;100080;1
000000000000000000000000000000000000000081;100.00;2024-01-01;A;100081;1
000000000000000000000000000000000000000082;100.00;2024-01-01;A;100082;1
000000000000000000000000000000000000000083;100.00;2024-01-01;A;100083;1
000000000000000000000000000000000000000084;100.00;2024-01-01;A;100084;1
000000000000000000000000000000000000000085;100.00;2024-01-01;A;100085;1
000000000000000000000000000000000000000086;100.00;2024-01-01;A;100086;1
000000000000000000000000000000000000000087;100.00;2024-01-01;A;100087;1
000000000000000000000000000000000000000088;100.00;2024-01-01;A;100088;1
000000000000000000000000000000000000000089;100.00;2024-01-01;A;100089;1
000000000000000000000000000000000000000090;100.00;2024-01-01;A;100090;1
000000000000000000000000000000000000000091;100.00;2024-01-01;A;100091;1
000000000000000000000000000000000000000092;100.00;2024-01-01;A;100092;1
000000000000000000000000000000000000000093;100.00;2024-01-01;A;100093;1
000000000000000000000000000000000000000094;100.00;2024-01-01;A;100094;1
000000000000000000000000000000000000000095;100.00;2024-01-01;A;100095;1
000000000000000000000000000000000000000096;100.00;2024-01-01;A;100096;1
000000000000000000000000000000000000000097;100.00;2024-01-01;A;100097;1
000000000000000000000000000000000000000098;100.00;2024-01-01;A;100098;1
000000000000000000000000000000000000000099;100.00;2024-01-01;A;100099;1
000000000000000000000000000000000000000100;100.00;2024-01-01;C;100100;1




