CODIGO|EAN|REGISTRO ANVISA|NCM|CEST|NOME|LABORATORIO|TIPO|CLASSE TERAPEUTICA|COMPOSICAO|TARJA|UNIDADE DE VENDA|CNPJ_LABORATORIO|apresentacao|listaPisCofins|restrHosp|CNPJ_DECLARANTE|NOME_DECLARANTE|pICMS|vPF|vPMC|vPMCEmbFrac|vPMCEmbMult|CODIGO LABORATORIO|LABORATÃ“RIO|DESCRIÃ‡ÃƒO|COMPOSIÃ‡ÃƒO|REGIME PREÃ‡O|LISTA (LCCT)|PF 20%|PMC 20%|FRA 20%|PF 18%|PMC 18%|FRA 18%|PF 17%|PMC 17%|FRA 17%|PF 17,5%|PMC 17,5%|FRA 17,5%|PF 12%|PMC 12%|FRA 12%|PF 17% ALC|PMC 17% ALC|FRA 17% ALC|PF 17,5% ALC|PMC 17,5% ALC|FRA 17,5% ALC|PF 18% ALC|PMC 18% ALC|FRA 18% ALC|PF 0%|PMC 0%|FRA 0%|PERCENTUAL IPI|DATA VIGENCIA|NOVO |VARIAÃ‡ÃƒO DE PRECO|REFERÃŠNCIA|ATC|CLASSE TERAPÃŠUTICA|PORTARIA 344/98|TISS/TUSS|CONFAZ 87|CAP|NOVO|GGREM|DCB|CAS|PF 22%|PMC 22%|PF 21%|PMC 21%|PF 19%|PMC 19%|PF 19% ALC|PMC 19% ALC|PF 20% ALC|PMC 20% ALC|PF 20,5%|PMC 20,5%|PF 19,5%|PMC 19,5%|PF 19,5% ALC|PMC 19,5% ALC|PF 23%|PMC 23%|PF 22,5%|PMC 22,5%|ARQUIVO_ORIGEM|DATA_REFERENCIA|ANO_PASTA|ORIGEM_ARQUIVO
245746|7891317158705|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 5 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|20|29,39|39,47|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245746|7891317158705|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 5 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|18|28,59|38,42|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245746|7891317158705|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 5 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|17|28,21|37,93|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245746|7891317158705|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 5 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|17,5|28,40|38,18|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245746|7891317158705|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 5 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|12|26,44|35,60|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245746|7891317158705|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 5 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|17ALC|25,40|35,11|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245746|7891317158705|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 5 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|17,5ALC|25,56|35,34|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245746|7891317158705|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 5 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|18ALC|25,71|35,54|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245744|7891317129941|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 10 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|20|44,08|59,20|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245744|7891317129941|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 10 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|18|42,88|57,63|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245744|7891317129941|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 10 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|17|42,31|56,88|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245744|7891317129941|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 10 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|17,5|42,59|57,25|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245744|7891317129941|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 10 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|12|39,65|53,39|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
245744|7891317129941|4707603680023|21069090||20 BI|MOMENTA|O|PRODUTOS PROBIOTICOS|BIFIDOBACTERIUM LACTIS+LACTOBACILLUS ACIDOPHILLUS|L||14806008000154|ct 10 caps|O|N|53375317000179|ASSOCIACAO BRASILEIRA DO COMERCIO FARMACEUTICO|17ALC|38,10|52,67|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||03_2018.zip|2018-04-01|2018|XML
